<RTE>
MODEL=facebook/opt-125m, TASK=SST2, MODE=lora-1e-4-8274, LR=0.0001, SEED=8274, ACC= 0.911697247706422
MODEL=facebook/opt-125m, TASK=SST2, MODE=lora-1e-5-10283, LR=1e-05, SEED=10283, ACC= 0.9105504587155964
MODEL=facebook/opt-125m, TASK=SST2, MODE=lora-1e-4-10283, LR=0.0001, SEED=10283, ACC= 0.9185779816513762
MODEL=facebook/opt-125m, TASK=SST2, MODE=bitfit-1e-5-28, LR=1e-05, SEED=28, ACC= 0.9048165137614679
MODEL=facebook/opt-125m, TASK=SST2, MODE=bitfit-1e-4-28, LR=0.0001, SEED=28, ACC= 0.8956422018348624
MODEL=facebook/opt-125m, TASK=SST2, MODE=bitfit-1e-5-210, LR=1e-05, SEED=210, ACC= 0.9013761467889908
MODEL=facebook/opt-125m, TASK=SST2, MODE=bitfit-1e-4-210, LR=0.0001, SEED=210, ACC= 0.8910550458715596
MODEL=facebook/opt-125m, TASK=SST2, MODE=bitfit-1e-5-8274, LR=1e-05, SEED=8274, ACC= 0.9094036697247706
MODEL=facebook/opt-125m, TASK=SST2, MODE=bitfit-1e-4-8274, LR=0.0001, SEED=8274, ACC= 0.9162844036697247
MODEL=facebook/opt-125m, TASK=SST2, MODE=bitfit-1e-5-10283, LR=1e-05, SEED=10283, ACC= 0.9059633027522935
MODEL=facebook/opt-125m, TASK=SST2, MODE=bitfit-1e-4-10283, LR=0.0001, SEED=10283, ACC= 0.9025229357798165
MODEL=facebook/opt-125m, TASK=SST2, MODE=adapter-1e-5-28, LR=1e-05, SEED=28, ACC= 0.911697247706422
MODEL=facebook/opt-125m, TASK=SST2, MODE=adapter-1e-4-28, LR=0.0001, SEED=28, ACC= 0.9002293577981652
MODEL=facebook/opt-125m, TASK=SST2, MODE=adapter-1e-5-210, LR=1e-05, SEED=210, ACC= 0.9071100917431193
MODEL=facebook/opt-125m, TASK=SST2, MODE=adapter-1e-4-210, LR=0.0001, SEED=210, ACC= 0.8956422018348624
MODEL=facebook/opt-125m, TASK=SST2, MODE=adapter-1e-5-8274, LR=1e-05, SEED=8274, ACC= 0.911697247706422
MODEL=facebook/opt-125m, TASK=SST2, MODE=adapter-1e-4-8274, LR=0.0001, SEED=8274, ACC= 0.9059633027522935
MODEL=facebook/opt-125m, TASK=SST2, MODE=adapter-1e-5-10283, LR=1e-05, SEED=10283, ACC= 0.9139908256880734
MODEL=facebook/opt-125m, TASK=SST2, MODE=adapter-1e-4-10283, LR=0.0001, SEED=10283, ACC= 0.9071100917431193
MODEL=facebook/opt-125m, TASK=SST2, MODE=random_masking_0.999-1e-3-28, LR=0.001, SEED=28, ACC= 0.9105504587155964
MODEL=facebook/opt-125m, TASK=SST2, MODE=random_masking_0.999-1e-2-28, LR=0.01, SEED=28, ACC= 0.8256880733944955
MODEL=facebook/opt-125m, TASK=SST2, MODE=random_masking_0.999-1e-3-210, LR=0.001, SEED=210, ACC= 0.911697247706422
MODEL=facebook/opt-125m, TASK=SST2, MODE=random_masking_0.999-1e-2-210, LR=0.01, SEED=210, ACC= 0.8268348623853211
MODEL=facebook/opt-125m, TASK=SST2, MODE=random_masking_0.999-1e-3-8274, LR=0.001, SEED=8274, ACC= 0.9105504587155964
MODEL=facebook/opt-125m, TASK=SST2, MODE=random_masking_0.999-1e-2-8274, LR=0.01, SEED=8274, ACC= 0.8428899082568807
MODEL=facebook/opt-125m, TASK=SST2, MODE=random_masking_0.999-1e-3-10283, LR=0.001, SEED=10283, ACC= 0.9185779816513762
MODEL=facebook/opt-125m, TASK=SST2, MODE=random_masking_0.999-1e-2-10283, LR=0.01, SEED=10283, ACC= 0.8337155963302753
MODEL=facebook/opt-125m, TASK=SST2, MODE=gradient_masking_0.999-1e-5-28, LR=1e-05, SEED=28, ACC= 0.9197247706422018
MODEL=facebook/opt-125m, TASK=SST2, MODE=gradient_masking_0.999-1e-4-28, LR=0.0001, SEED=28, ACC= 0.8795871559633027
MODEL=facebook/opt-125m, TASK=SST2, MODE=gradient_masking_0.999-1e-5-210, LR=1e-05, SEED=210, ACC= 0.911697247706422
MODEL=facebook/opt-125m, TASK=SST2, MODE=gradient_masking_0.999-1e-4-210, LR=0.0001, SEED=210, ACC= 0.8635321100917431
MODEL=facebook/opt-125m, TASK=SST2, MODE=gradient_masking_0.999-1e-5-8274, LR=1e-05, SEED=8274, ACC= 0.9059633027522935
MODEL=facebook/opt-125m, TASK=SST2, MODE=gradient_masking_0.999-1e-4-8274, LR=0.0001, SEED=8274, ACC= 0.8795871559633027
MODEL=facebook/opt-125m, TASK=SST2, MODE=gradient_masking_0.999-1e-5-10283, LR=1e-05, SEED=10283, ACC= 0.9185779816513762
MODEL=facebook/opt-125m, TASK=SST2, MODE=gradient_masking_0.999-1e-4-10283, LR=0.0001, SEED=10283, ACC= 0.8509174311926605


MODEL=facebook/opt-125m, TASK=BoolQ, MODE=fft-1e-6-28, LR=1e-06, SEED=28, ACC= 0.6706422018348623
MODEL=facebook/opt-125m, TASK=BoolQ, MODE=fft-1e-6-210, LR=1e-06, SEED=210, ACC= 0.6822629969418961
MODEL=facebook/opt-125m, TASK=BoolQ, MODE=fft-1e-6-8274, LR=1e-06, SEED=8274, ACC= 0.6874617737003058
MODEL=facebook/opt-125m, TASK=BoolQ, MODE=fft-1e-6-10283, LR=1e-06, SEED=10283, ACC= 0.6831804281345566
